mode,hole,surface_target,target_v_horizontal_mps,target_spin_rpm,actual_v_at_contact_mps,first_contact_pos_x,first_contact_pos_y,first_contact_pos_z,end_pos_x,end_pos_y,end_pos_z,end_surface,roll_distance_m,bounce_count,sim_duration_s,sample_id,timestamp_iso
roll,1,Fairway,3.0,500,8.554,-278.4466,8.7535,-133.7596,-276.8132,8.5507,-133.7279,Fairway,1.6337,5,2.6172,1,2026-05-18T10:16:25.0870940+02:00
roll,1,Fairway,3.0,500,8.554,-278.4466,8.7535,-133.7596,-276.8132,8.5507,-133.7279,Fairway,1.6337,5,2.6172,2,2026-05-18T10:16:25.4268100+02:00
roll,1,Fairway,3.0,2700,8.554,-278.4466,8.7535,-133.7730,-276.8132,8.5507,-133.7730,Fairway,1.6334,5,2.6173,1,2026-05-18T10:16:25.7597770+02:00
roll,1,Fairway,3.0,2700,8.554,-278.4466,8.7535,-133.7730,-276.8132,8.5507,-133.7730,Fairway,1.6334,5,2.6173,2,2026-05-18T10:16:26.0847940+02:00
roll,1,Fairway,6.0,500,10.441,-277.0901,8.5661,-133.7574,-273.4604,8.0920,-133.7177,Fairway,3.6299,5,2.8303,1,2026-05-18T10:16:26.4265820+02:00
roll,1,Fairway,6.0,500,10.441,-277.0901,8.5661,-133.7574,-273.4604,8.0920,-133.7177,Fairway,3.6299,5,2.8303,2,2026-05-18T10:16:26.7665500+02:00
roll,1,Fairway,6.0,2700,10.441,-277.0901,8.5661,-133.7730,-273.4603,8.0920,-133.7730,Fairway,3.6298,5,2.8303,1,2026-05-18T10:16:27.1145030+02:00
roll,1,Fairway,6.0,2700,10.441,-277.0901,8.5661,-133.7730,-273.4603,8.0920,-133.7730,Fairway,3.6298,5,2.8303,2,2026-05-18T10:16:27.4472150+02:00
roll,1,Fairway,9.0,500,12.843,-276.1561,8.4353,-133.7568,-270.1172,7.6542,-133.7053,Fairway,6.0391,6,3.1423,1,2026-05-18T10:16:27.7783440+02:00
roll,1,Fairway,9.0,500,12.843,-276.1561,8.4353,-133.7568,-270.1172,7.6542,-133.7053,Fairway,6.0391,6,3.1423,2,2026-05-18T10:16:28.0997690+02:00
roll,1,Fairway,9.0,2700,12.843,-276.1561,8.4353,-133.7688,-270.1171,7.6542,-133.7401,Fairway,6.0391,6,3.1423,1,2026-05-18T10:16:28.4346890+02:00
