# Tracked standalone tree placement — see StandaloneTreeCatalog.cs
prefab,worldX,worldY,worldZ,yawDeg,scale
Spruce 1,-44.6414,10.6829,-106.0546,60.6363,1.0068
Spruce 1,-41.0745,11.5622,-102.5536,274.0502,0.9021
Spruce 1,-35.2425,11.5650,-105.3561,137.1491,0.9461
Spruce 1,-29.0885,11.1146,-103.7953,207.7909,1.0942
Spruce 1,-7.7529,5.7090,-103.6602,53.1941,1.0633
Spruce 1,-1.2127,4.4337,-102.7445,14.9436,0.9059
Spruce 3,1.1992,3.9380,-103.4010,192.8599,0.8512
Spruce 1,10.1811,2.3312,-102.4099,9.4822,0.8947
Spruce 3,11.6561,2.0978,-102.2101,89.9859,0.8846
Spruce 3,21.9846,0.6153,-105.1624,16.0194,0.8931
Spruce 1,26.9774,0.3377,-103.8045,254.3696,0.9761
Spruce 1,35.4295,-0.0980,-104.7090,258.5429,0.8706
Spruce 1,41.7757,-0.1140,-104.1154,158.1046,1.0893
Spruce 1,-45.5690,11.8316,-97.9024,4.6429,1.0987
Spruce 3,-21.8828,9.9202,-98.6480,134.1962,0.8633
Spruce 3,-17.7987,8.7862,-98.2783,144.2516,1.0097
Spruce 1,-10.8658,7.0873,-95.4565,6.9884,1.0705
Spruce 1,-1.3599,4.8518,-95.1539,58.4506,1.0632
Spruce 1,12.2413,2.1269,-100.0918,184.6222,1.0275
Spruce 3,31.0869,0.5684,-97.5876,8.7181,1.0453
Spruce 1,-47.0573,12.3094,-94.6691,151.9970,1.0277
Spruce 1,-20.1431,10.3259,-89.9450,302.5784,0.8626
Spruce 1,-7.0927,6.5560,-89.8283,228.4113,1.0136
Spruce 1,-2.8980,5.2631,-93.7462,10.6501,0.9049
Spruce 3,0.7351,4.7143,-89.2992,48.6792,1.0845
Spruce 1,13.1186,2.4761,-91.5401,43.8940,1.0637
Spruce 3,20.9391,1.5555,-92.5513,125.3535,0.9835
Spruce 3,32.6081,1.2857,-89.2135,38.6402,0.8885
Spruce 1,46.9918,1.5925,-90.5794,144.0106,1.0272
Spruce 3,-47.9003,14.2300,-83.4359,62.1478,1.1172
Spruce 1,-15.4964,9.5405,-84.0743,239.1901,1.1164
Spruce 3,-5.2789,6.5158,-83.8983,151.3842,0.8746
Spruce 3,4.1808,4.2681,-83.6195,339.5143,1.1360
Spruce 3,8.1496,3.5593,-83.5554,211.5107,0.8969
Spruce 1,20.3554,2.1113,-84.6502,125.2320,1.0918
Spruce 3,30.5526,1.6547,-85.7210,71.4784,1.0245
Spruce 1,40.9585,1.5592,-88.5862,112.9210,0.9143
Spruce 1,-47.0260,14.8363,-77.6076,163.3641,0.9602
Spruce 1,-15.0917,9.8461,-79.2230,28.2707,1.1368
Spruce 1,-9.8233,8.3694,-77.6161,317.3077,1.1258
Spruce 1,-1.3059,5.5379,-82.8010,6.7036,1.0241
Spruce 3,9.4079,3.5608,-78.9669,338.6087,0.9389
Spruce 1,15.8633,2.5956,-82.7148,15.3340,1.0472
Spruce 1,21.4618,2.3688,-79.7687,78.6640,0.9532
Spruce 3,26.9808,2.3091,-79.0380,239.4719,0.9466
Spruce 3,40.4053,2.6903,-81.1548,0.2346,0.9554
Spruce 1,44.8261,3.1689,-80.7940,231.8203,0.9049
