# Tracked standalone tree placement — see StandaloneTreeCatalog.cs
prefab,worldX,worldY,worldZ,yawDeg,scale
Spruce 1,-263.0414,5.3244,-89.4546,60.6363,1.0068
Spruce 3,-251.9725,4.8085,-89.2581,92.6357,0.9204
Spruce 3,-233.9453,3.6651,-90.0881,143.0894,1.0232
Spruce 3,-230.1368,3.4395,-89.7593,194.3894,1.0949
Spruce 1,-224.7851,3.4342,-86.0331,249.3323,1.1219
Spruce 1,-203.5510,2.3327,-85.3736,289.8664,1.0107
Spruce 1,-175.5502,1.1014,-85.6654,51.7127,1.0444
Spruce 1,-58.2963,-0.0563,-87.1058,326.6130,0.9392
Spruce 1,40.2468,0.0723,-86.7460,357.6545,0.8781
Spruce 1,45.6784,-0.0193,-89.6634,270.4145,0.9472
Spruce 1,55.9050,0.0294,-90.2458,322.5221,1.1021
Spruce 3,58.3785,0.2494,-84.7427,196.3238,0.9338
Spruce 1,66.7569,0.3085,-86.5480,65.8963,0.9392
Spruce 3,69.1275,0.2646,-88.9149,281.3894,1.1462
Spruce 1,75.7613,0.5158,-84.9996,201.5952,0.9384
Spruce 1,84.2873,0.6088,-86.0251,140.9206,1.0295
Spruce 1,92.2356,0.6911,-87.6305,166.9129,1.1391
Spruce 3,96.2081,0.8080,-84.6135,38.6402,0.8885
Spruce 3,98.9671,0.8026,-89.2089,145.4416,1.0660
Spruce 1,108.4948,1.0258,-87.8998,347.0044,1.1232
Spruce 1,116.2933,1.2601,-89.2642,221.7354,1.0127
Spruce 3,122.6046,1.3508,-85.3660,122.2862,0.9342
Spruce 1,126.1036,1.4492,-85.4743,239.1901,1.1164
Spruce 1,164.6702,3.3418,-84.6414,348.9092,1.1172
Spruce 1,165.8871,3.1112,-86.7748,180.3244,1.0403
Spruce 3,175.1998,3.6189,-89.6338,187.6372,0.9544
Spruce 1,181.2741,4.4409,-89.0974,209.4263,1.0866
Spruce 1,184.1413,5.8450,-84.6915,77.1994,0.8667
Spruce 1,190.8320,5.7589,-89.2709,317.5423,0.9312
Spruce 1,197.7702,6.9414,-88.0950,238.5238,1.0790
Spruce 1,-179.5739,1.5537,-82.1941,231.8203,0.9049
Spruce 3,-60.6122,-0.0212,-84.2892,111.2283,0.9884
Spruce 1,49.9128,0.3692,-79.3453,46.3907,1.0295
Spruce 1,55.7040,0.3007,-82.5693,0.3773,0.8651
Spruce 1,60.8561,0.3245,-83.7353,188.5763,1.0860
Spruce 3,67.2694,0.6191,-78.8925,126.8049,1.1169
Spruce 3,71.3755,0.6762,-79.1476,338.9549,1.1035
Spruce 1,79.8173,0.7534,-80.3238,336.4404,1.0893
Spruce 3,86.0374,0.7250,-83.1798,290.2719,1.1399
Spruce 3,91.8343,0.8342,-81.6368,97.5146,0.9087
Spruce 1,97.8737,0.8768,-82.1378,330.5129,1.1255
Spruce 1,99.3092,0.9616,-79.2192,140.2401,1.1050
Spruce 1,105.5730,1.0272,-78.4460,184.4552,1.1150
Spruce 1,116.7604,1.1769,-84.1162,114.3532,1.0470
Spruce 3,117.7278,1.1857,-83.1047,55.1371,0.8847
Spruce 1,125.7358,1.3829,-82.0062,255.5215,1.1441
Spruce 1,130.6063,1.5743,-78.3333,191.3851,1.0357
Spruce 3,135.2133,1.7060,-82.5996,317.4021,1.1280
Spruce 1,146.7365,2.2670,-82.4089,299.0627,0.9724
Spruce 3,152.1834,2.4702,-83.9712,301.6482,0.9862
Spruce 1,157.6505,3.6565,-78.9611,50.8450,1.1134
Spruce 1,162.6784,3.9218,-80.6175,163.3639,1.0796
Spruce 1,169.0154,4.2436,-82.6037,40.8659,0.8921
Spruce 1,171.6063,4.9023,-81.3349,168.6582,0.9555
Spruce 3,181.0600,5.7346,-83.3765,127.1630,1.0825
Spruce 1,187.8367,8.0420,-78.5397,101.1345,0.9355
Spruce 1,191.4070,7.9292,-80.9780,333.4955,0.8927
Spruce 3,197.2673,8.8563,-79.8338,327.6826,0.9933
Spruce 1,203.5308,9.3854,-79.3579,73.4789,0.9919
Spruce 3,-164.5687,1.6242,-75.2454,204.2463,1.1155
Spruce 3,47.3745,0.4289,-77.3052,313.3053,0.8519
Spruce 1,54.1722,0.4997,-77.0573,211.3459,1.0691
Spruce 3,58.1128,0.6762,-73.8375,133.1078,0.9024
Spruce 3,65.7900,0.7279,-75.5532,2.9619,1.0463
Spruce 3,72.0268,0.9455,-72.6209,71.1165,1.0716
Spruce 1,75.6344,0.9235,-74.5870,342.6721,1.0396
Spruce 3,84.1559,0.9706,-76.0619,228.0740,0.9005
Spruce 1,92.2290,1.0494,-75.6811,342.5145,1.0273
Spruce 1,97.5151,1.0612,-76.0492,154.2546,0.8764
Spruce 3,99.5474,1.0112,-77.6800,327.4871,1.0906
Spruce 1,114.9283,1.2923,-73.4054,153.0436,0.9873
Spruce 3,117.4112,1.3278,-73.4466,240.7883,1.1255
Spruce 1,128.6882,1.6451,-73.6287,42.8521,1.0962
Spruce 1,133.7014,1.8421,-75.0523,155.2836,0.8611
Spruce 1,135.6119,2.0108,-74.0819,149.8519,0.8913
Spruce 1,144.8668,2.6188,-76.4384,257.2226,0.8532
Spruce 3,151.3684,3.6192,-73.9652,255.5835,1.0134
Spruce 1,157.8037,4.6927,-72.7437,129.4636,0.9864
Spruce 1,160.2554,4.9962,-73.2919,150.7554,0.8776
Spruce 3,169.4602,5.4265,-78.0892,112.1142,1.1442
Spruce 3,173.1283,6.3788,-76.4282,316.5609,1.0073
Spruce 1,182.7102,8.0740,-74.8898,278.0365,0.8624
Spruce 3,187.5496,8.7603,-74.0345,335.6866,0.9111
Spruce 1,190.3534,9.0696,-73.6065,111.6312,0.8833
Spruce 1,200.1452,9.5895,-76.1082,76.9626,1.0532
Spruce 1,202.6038,9.7728,-74.2814,239.2393,1.0657
Spruce 1,210.6560,9.8631,-74.0846,126.5259,1.0598
Spruce 1,215.4966,9.7974,-73.2023,269.9710,1.0496
Spruce 1,-265.3894,5.4640,-71.1263,104.4933,1.0311
Spruce 1,-258.5722,5.3736,-69.9859,23.0506,0.8964
Spruce 1,-168.2920,2.4896,-67.3343,189.9814,1.0774
Spruce 3,-149.1411,1.8526,-67.4965,48.9366,1.0553
Spruce 3,-143.4444,1.3936,-69.8929,40.1119,1.1272
Spruce 1,-137.4302,1.2135,-69.7964,306.5966,0.9751
Spruce 3,-130.9601,0.8522,-71.9158,285.2827,0.8939
Spruce 3,-126.0590,0.8905,-70.1378,281.2131,0.8946
Spruce 3,62.2572,0.8047,-72.1368,19.1830,0.9652
