mode,hole,surface_target,target_v_horizontal_mps,target_spin_rpm,actual_v_at_contact_mps,first_contact_pos_x,first_contact_pos_y,first_contact_pos_z,end_pos_x,end_pos_y,end_pos_z,end_surface,roll_distance_m,bounce_count,sim_duration_s,sample_id,timestamp_iso
roll,1,Fairway,3.0,500,8.554,-278.4466,8.7535,-133.7596,-276.8132,8.5507,-133.7279,Fairway,1.6337,5,2.6172,1,2026-05-18T10:26:50.8430750+02:00
roll,1,Fairway,3.0,500,8.554,-278.4466,8.7535,-133.7596,-276.8132,8.5507,-133.7279,Fairway,1.6337,5,2.6172,2,2026-05-18T10:26:51.1899330+02:00
roll,1,Fairway,3.0,2700,8.554,-278.4466,8.7535,-133.7730,-276.8132,8.5507,-133.7730,Fairway,1.6334,5,2.6173,1,2026-05-18T10:26:51.5240820+02:00
roll,1,Fairway,3.0,2700,8.554,-278.4466,8.7535,-133.7730,-276.8132,8.5507,-133.7730,Fairway,1.6334,5,2.6173,2,2026-05-18T10:26:51.8409200+02:00
roll,1,Fairway,6.0,500,10.441,-277.0901,8.5661,-133.7574,-273.4604,8.0920,-133.7177,Fairway,3.6299,5,2.8303,1,2026-05-18T10:26:52.1797700+02:00
roll,1,Fairway,6.0,500,10.441,-277.0901,8.5661,-133.7574,-273.4604,8.0920,-133.7177,Fairway,3.6299,5,2.8303,2,2026-05-18T10:26:52.5297090+02:00
roll,1,Fairway,6.0,2700,10.441,-277.0901,8.5661,-133.7730,-273.4603,8.0920,-133.7730,Fairway,3.6298,5,2.8303,1,2026-05-18T10:26:52.8830310+02:00
roll,1,Fairway,6.0,2700,10.441,-277.0901,8.5661,-133.7730,-273.4603,8.0920,-133.7730,Fairway,3.6298,5,2.8303,2,2026-05-18T10:26:53.2171830+02:00
roll,1,Fairway,9.0,500,12.843,-276.1561,8.4353,-133.7568,-270.1172,7.6542,-133.7053,Fairway,6.0391,6,3.1423,1,2026-05-18T10:26:53.5798120+02:00
roll,1,Fairway,9.0,500,12.843,-276.1561,8.4353,-133.7568,-270.1172,7.6542,-133.7053,Fairway,6.0391,6,3.1423,2,2026-05-18T10:26:53.9214600+02:00
roll,1,Fairway,9.0,2700,12.843,-276.1561,8.4353,-133.7688,-270.1171,7.6542,-133.7401,Fairway,6.0391,6,3.1423,1,2026-05-18T10:26:54.2639340+02:00
roll,1,Fairway,9.0,2700,12.843,-276.1561,8.4353,-133.7688,-270.1171,7.6542,-133.7401,Fairway,6.0391,6,3.1423,2,2026-05-18T10:26:54.6047460+02:00
roll,1,Fairway,12.0,500,15.541,-275.5092,8.3472,-133.7572,-266.6333,7.2306,-133.6929,Fairway,8.8762,6,3.4054,1,2026-05-18T10:26:54.9507910+02:00
roll,1,Fairway,12.0,500,15.541,-275.5092,8.3472,-133.7572,-266.6333,7.2306,-133.6929,Fairway,8.8762,6,3.4054,2,2026-05-18T10:26:55.3098880+02:00
roll,1,Fairway,12.0,2700,15.541,-275.5089,8.3472,-133.7365,-266.6340,7.2306,-133.5811,Fairway,8.8763,6,3.4047,1,2026-05-18T10:26:55.6591230+02:00
roll,1,Fairway,12.0,2700,15.541,-275.5089,8.3472,-133.7365,-266.6340,7.2306,-133.5811,Fairway,8.8763,6,3.4047,2,2026-05-18T10:26:55.9968410+02:00
roll,1,Fairway,15.0,500,18.484,-275.0555,8.2868,-133.7581,-262.8334,6.8118,-133.6864,Fairway,12.2223,6,3.8329,1,2026-05-18T10:26:56.3503880+02:00
roll,1,Fairway,15.0,500,18.484,-275.0555,8.2868,-133.7581,-262.8334,6.8118,-133.6864,Fairway,12.2223,6,3.8329,2,2026-05-18T10:26:56.6892610+02:00
roll,1,Fairway,15.0,2700,18.484,-275.0549,8.2868,-133.7233,-262.8351,6.8118,-133.4799,Fairway,12.2222,6,3.8339,1,2026-05-18T10:26:57.0337340+02:00
roll,1,Fairway,15.0,2700,18.484,-275.0549,8.2868,-133.7233,-262.8351,6.8118,-133.4799,Fairway,12.2222,6,3.8339,2,2026-05-18T10:26:57.4088640+02:00
roll,1,Fairway,20.0,500,23.867,-274.5623,8.2134,-133.7589,-255.5324,6.1413,-133.6670,Fairway,19.0300,6,5.5034,1,2026-05-18T10:26:57.7392180+02:00
roll,1,Fairway,20.0,500,23.867,-274.5623,8.2134,-133.7589,-255.5324,6.1413,-133.6670,Fairway,19.0300,6,5.5034,2,2026-05-18T10:26:58.0808390+02:00
roll,1,Fairway,20.0,2700,23.867,-274.5616,8.2134,-133.7254,-255.5351,6.1421,-133.4025,Fairway,19.0292,6,5.5033,1,2026-05-18T10:26:58.4287390+02:00
roll,1,Fairway,20.0,2700,23.867,-274.5616,8.2134,-133.7254,-255.5351,6.1421,-133.4025,Fairway,19.0292,6,5.5033,2,2026-05-18T10:26:58.7629310+02:00
roll,1,Fairway,25.0,500,29.256,-274.2757,8.1793,-133.7602,-247.7935,5.5707,-133.6432,Fairway,26.4825,6,6.7699,1,2026-05-18T10:26:59.1075750+02:00
roll,1,Fairway,25.0,500,29.256,-274.2757,8.1793,-133.7602,-247.7935,5.5707,-133.6432,Fairway,26.4825,6,6.7699,2,2026-05-18T10:26:59.4359130+02:00
roll,1,Fairway,25.0,2700,29.256,-274.2750,8.1793,-133.7288,-247.7971,5.5713,-133.3352,Fairway,26.4808,6,6.7691,1,2026-05-18T10:26:59.7856200+02:00
roll,1,Fairway,25.0,2700,29.256,-274.2750,8.1793,-133.7288,-247.7971,5.5713,-133.3352,Fairway,26.4808,6,6.7691,2,2026-05-18T10:27:00.1107070+02:00
roll,1,Green,3.0,500,TIMEOUT,0,0,0,0,0,0,Unknown,0,0,0,1,2026-05-18T10:27:00.5451960+02:00
roll,1,Green,3.0,500,TIMEOUT,0,0,0,0,0,0,Unknown,0,0,0,2,2026-05-18T10:27:00.9624840+02:00
roll,1,Green,3.0,2700,TIMEOUT,0,0,0,0,0,0,Unknown,0,0,0,1,2026-05-18T10:27:01.3406110+02:00
