# side,prefab,trunkX,trunkZ,scale,ballX,ballZ  (generated: in-bounds trees, OB-safe corridor, canopy-clear ball)
right,Spruce 1,114.3680,-101.6878,0.9172,108.1362,-106.7042
right,Spruce 1,98.1654,-87.3154,1.1099,103.6182,-82.9260
right,Spruce 1,69.5058,-64.6903,1.0513,63.2740,-69.7067
right,Spruce 3,65.5981,-60.5851,0.9498,59.3663,-65.6015
right,Spruce 1,68.2618,-51.0680,1.0739,62.0300,-56.0844
right,Spruce 3,45.9143,-27.8005,1.0071,39.6825,-32.8169
right,Spruce 3,38.4677,-25.1458,0.9143,32.2359,-30.1622
right,Spruce 1,28.7211,-11.7816,1.0283,22.4893,-16.7980
right,Spruce 3,21.0543,0.6508,0.9675,14.8225,-4.3656
right,Spruce 3,19.1069,5.7796,0.8654,12.8751,0.7632
left,Spruce 3,129.6760,-148.1525,0.9431,135.9078,-143.1361
left,Spruce 3,116.3591,-146.6369,1.0836,122.5909,-141.6205
left,Spruce 1,97.3976,-141.4836,1.1240,103.6294,-136.4672
left,Spruce 1,61.6250,-115.8049,0.9103,67.8568,-110.7885
left,Spruce 3,51.6726,-114.5804,1.0024,57.9044,-109.5640
left,Spruce 1,-124.4378,154.6154,1.1208,-130.6696,149.5990
