# Tracked standalone tree placement — see StandaloneTreeCatalog.cs
prefab,worldX,worldY,worldZ,yawDeg,scale
Spruce 1,-52.9469,7.9211,-209.2134,260.7870,0.9288
Spruce 3,-44.6225,9.8123,-211.3081,92.6357,0.9204
Spruce 1,-33.4142,10.5970,-210.7885,293.0895,0.8606
Spruce 1,-26.2368,10.6479,-209.9652,253.8548,0.8770
Spruce 1,-18.8029,11.2441,-209.1102,53.1941,1.0633
Spruce 1,-12.2627,12.0533,-208.1945,14.9436,0.9059
Spruce 3,-9.8508,11.9982,-208.8510,192.8599,0.8512
Spruce 1,-0.8689,14.0964,-207.8598,9.4822,0.8947
Spruce 3,0.6061,14.6588,-207.6602,89.9859,0.8846
Spruce 3,10.9346,15.4763,-210.6124,16.0194,0.8931
Spruce 1,15.9274,13.2818,-209.2545,254.3696,0.9761
Spruce 1,22.0708,9.0048,-211.0393,96.2778,0.9595
Spruce 1,24.7120,8.1007,-208.0410,4.3321,0.9892
Spruce 1,35.0869,3.8351,-209.7149,3.2230,0.9999
Spruce 1,41.2730,2.3031,-212.2726,235.4915,0.8691
Spruce 3,42.5072,2.8432,-206.8689,135.1199,0.9884
Spruce 1,-57.4634,6.6678,-205.4987,191.6516,1.0877
Spruce 3,-51.2958,7.5231,-204.5658,264.6378,1.0260
Spruce 3,-47.5835,7.8227,-201.0599,255.8520,0.9499
Spruce 1,-40.7258,10.0373,-205.7312,279.3997,0.9500
Spruce 1,-34.8087,10.9456,-205.5418,184.6222,1.0275
Spruce 3,-23.7779,12.8593,-201.7527,104.2109,1.0645
Spruce 3,-20.3876,13.7477,-200.4110,124.3467,0.8573
Spruce 1,-12.1256,12.7941,-206.1871,13.8530,0.9296
Spruce 1,-10.4033,14.1987,-202.7960,357.6545,0.8781
Spruce 1,-4.9716,13.7825,-205.7134,270.4145,0.9472
Spruce 1,5.2550,16.3983,-206.2957,322.5221,1.1021
Spruce 3,7.7284,17.7382,-200.7927,196.3238,0.9338
Spruce 1,16.1069,14.3914,-202.5980,65.8963,0.9392
Spruce 3,18.4775,12.4273,-204.9649,281.3894,1.1462
Spruce 1,25.1113,9.8803,-201.0496,201.5952,0.9384
Spruce 1,33.6373,6.2052,-202.0751,140.9206,1.0295
Spruce 1,41.5856,3.5811,-203.6805,166.9129,1.1391
Spruce 3,45.5581,3.2668,-200.6635,38.6402,0.8885
Spruce 3,48.3171,2.2635,-205.2589,145.4416,1.0660
Spruce 1,-56.1552,5.6679,-197.9498,347.0044,1.1232
Spruce 1,-48.3567,7.3933,-199.3142,221.7354,1.0127
Spruce 3,-42.0454,8.7664,-195.4160,122.2862,0.9342
Spruce 1,-38.5464,9.9426,-195.5243,239.1901,1.1164
Spruce 1,-34.5626,11.2444,-198.6873,230.4099,1.1001
Spruce 3,-18.8692,15.4046,-195.0694,339.5143,1.1360
Spruce 3,-14.9004,16.0970,-195.0054,211.5107,0.8969
Spruce 1,-10.4326,16.2386,-196.5443,39.9715,1.0625
Spruce 1,17.0318,15.2531,-196.8596,18.8278,1.1304
Spruce 1,18.6341,13.8090,-199.0634,104.8797,0.9015
Spruce 1,25.9240,11.5242,-195.0576,163.3641,0.9602
Spruce 3,34.8804,7.5629,-196.3746,308.3587,0.9567
Spruce 3,38.1679,5.5765,-199.2490,220.6201,1.0279
Spruce 1,44.6226,4.5469,-194.6133,317.0320,0.9913
Spruce 3,50.1744,2.8539,-194.8339,5.9404,1.1172
Spruce 3,-45.2345,7.4904,-190.2921,106.6310,1.1454
Spruce 1,-36.0565,10.8321,-189.8367,236.6074,0.9522
Spruce 1,-35.4444,11.0722,-190.2382,123.7956,0.9595
Spruce 3,-28.3889,13.7088,-190.7192,115.8878,1.0317
Spruce 1,-19.7088,15.5164,-193.7526,104.7148,1.1028
Spruce 1,-11.8264,17.0678,-192.2421,126.3573,1.0238
Spruce 3,-10.7674,16.9884,-193.2510,340.1284,0.8826
Spruce 1,-4.6186,18.0689,-190.4152,234.8900,1.0426
Spruce 3,14.8712,17.1207,-193.1779,193.5121,1.0163
Spruce 3,22.3330,13.9402,-191.8818,250.8158,1.1424
Spruce 1,25.6536,12.4000,-192.4818,249.7638,1.0939
Spruce 3,32.2036,10.1882,-190.8144,356.3311,0.9855
Spruce 1,39.3108,7.5786,-189.1934,151.2560,0.9740
Spruce 1,43.2819,5.6509,-190.9737,343.0897,0.8505
Spruce 1,51.0678,2.7764,-192.4962,149.0466,1.0644
Spruce 3,-59.1268,4.9270,-187.2196,326.5836,0.9889
Spruce 3,-36.4023,10.9790,-184.5494,181.8187,1.1028
Spruce 1,-33.7524,11.8833,-187.9707,225.1846,1.1214
Spruce 1,-24.1831,15.6831,-184.9354,48.3234,0.9632
Spruce 1,-21.4567,16.0853,-187.6933,7.8180,1.0459
Spruce 1,-6.7372,18.3071,-183.3953,46.3907,1.0295
Spruce 3,12.8647,18.6679,-185.1677,259.1638,1.0071
Spruce 3,23.7075,14.3537,-184.2868,145.5312,0.9557
Spruce 3,29.4524,12.1974,-183.5791,292.0375,1.1325
Spruce 3,34.2762,9.9164,-187.8146,305.2402,1.1304
Spruce 3,37.4202,8.9620,-184.0791,293.0548,1.0919
Spruce 1,44.9632,5.6674,-182.9092,295.4198,0.9313
Spruce 3,50.4622,3.3046,-184.8980,21.5528,1.1254
Spruce 3,-54.6192,6.5912,-180.2649,37.3777,0.9669
Spruce 1,-35.8896,11.4564,-182.1662,114.3532,1.0470
Spruce 3,-34.9222,12.0151,-181.1547,55.1371,0.8847
Spruce 1,-26.9142,15.3565,-180.0562,255.5215,1.1441
Spruce 1,12.0865,18.5859,-180.4589,299.0627,0.9724
Spruce 3,17.5334,16.8187,-182.0212,301.6482,0.9862
Spruce 1,23.0004,13.6738,-177.0111,50.8450,1.1134
Spruce 1,28.0284,12.2511,-178.6675,163.3639,1.0796
Spruce 1,34.3654,10.2169,-180.6537,40.8659,0.8921
Spruce 1,36.9563,9.1225,-179.3849,168.6582,0.9555
Spruce 3,46.4100,5.0498,-181.4265,127.1630,1.0825
Spruce 1,53.1867,2.3380,-176.5897,101.1345,0.9355
Spruce 1,-57.2430,8.5066,-173.0280,333.4955,0.8927
Spruce 3,-51.3827,9.4160,-171.8838,327.6826,0.9933
Spruce 1,-45.1192,10.4375,-171.4079,73.4789,0.9919
Spruce 3,-35.1067,13.0225,-174.5821,195.0670,0.9634
Spruce 1,13.3355,17.2177,-175.0023,131.4018,1.0682
Spruce 1,23.6448,13.2081,-176.1385,310.0733,0.8615
Spruce 1,24.5549,12.6841,-175.4250,311.8946,1.0515
Spruce 1,35.4670,9.3404,-176.0872,312.3517,1.1209
Spruce 3,36.7596,8.8266,-175.6019,44.4985,0.9391
Spruce 1,43.9160,6.0678,-175.8788,55.7384,0.9247
Spruce 1,52.1933,2.6391,-172.5874,183.2775,0.8741
Spruce 1,-55.3592,11.7968,-165.0401,175.4059,0.9569
Spruce 3,-50.6604,10.0974,-170.1355,211.3212,0.9375
Spruce 3,-47.0494,12.3478,-164.9254,288.0651,0.9881
Spruce 1,-40.3110,13.0626,-166.6824,17.0276,0.9030
Spruce 1,15.1587,14.8148,-169.1068,14.7051,0.9583
Spruce 3,19.3657,11.9081,-166.1620,131.4871,0.8546
Spruce 1,25.6512,9.4552,-166.2069,13.5401,1.1270
Spruce 1,30.5738,9.0699,-168.8374,175.8427,0.9884
Spruce 1,42.1078,5.8733,-164.5681,224.0236,1.0525
Spruce 1,47.3598,4.4122,-169.9688,137.8850,0.9015
Spruce 3,-57.7950,14.1356,-159.4061,59.6910,0.9712
Spruce 3,-48.8063,12.4306,-164.3113,74.5652,1.0111
Spruce 1,-44.1689,14.3755,-159.9675,267.7479,0.9081
Spruce 1,10.0929,14.2617,-158.6388,224.8958,0.9619
Spruce 3,13.3098,13.2410,-160.5488,9.5269,0.9809
Spruce 3,21.8455,8.8145,-158.6414,190.8929,0.9625
Spruce 1,24.8273,8.4545,-161.7791,325.5596,0.8810
Spruce 3,35.1113,6.2642,-158.8919,238.7002,1.1469
Spruce 1,41.1946,5.9351,-162.8965,27.6711,0.9775
Spruce 1,-53.9618,16.4942,-153.6787,42.8521,1.0962
Spruce 1,-48.9486,15.9404,-155.1023,155.2836,0.8611
Spruce 1,-47.0381,16.2347,-154.1319,149.8519,0.8913
Spruce 3,-35.1121,16.0953,-158.2856,260.0882,1.0709
Spruce 1,8.8126,14.1188,-153.8398,352.9887,1.0323
Spruce 1,14.1686,11.9495,-156.1717,188.7208,1.1119
Spruce 1,23.5760,7.2296,-152.5898,14.8694,0.8814
Spruce 3,28.9339,6.0095,-153.7504,73.3234,1.0736
Spruce 3,35.8948,5.9003,-156.9466,39.9018,1.0024
Spruce 1,38.1605,5.2224,-153.1549,243.7997,0.8606
Spruce 3,-55.3866,18.2218,-148.3627,42.2871,1.0608
Spruce 1,-49.5042,17.5898,-150.2412,169.9469,1.1049
Spruce 1,-40.2566,17.3932,-147.4212,213.4874,1.0547
Spruce 3,-32.6602,16.9793,-151.8148,66.5504,0.8979
Spruce 1,8.6141,13.9248,-150.0895,213.6431,0.8692
Spruce 1,12.5771,11.9737,-147.2367,111.6657,0.9653
Spruce 1,23.3566,7.1129,-150.1845,83.0270,0.8633
Spruce 3,26.4169,6.2970,-151.8448,302.4742,0.9059
Spruce 3,36.2754,4.8853,-149.1458,74.0582,0.8772
Spruce 1,38.9822,4.8822,-150.8276,235.4401,0.8943
Spruce 1,-57.0854,19.2466,-141.8025,328.7478,1.0087
Spruce 3,-53.4419,19.4558,-140.4859,237.3342,1.0902
Spruce 3,13.1913,11.8066,-141.6631,219.1018,0.9226
Spruce 1,21.1362,8.0052,-141.3995,51.6346,1.0882
