# Tracked standalone tree placement — see StandaloneTreeCatalog.cs
prefab,worldX,worldY,worldZ,yawDeg,scale
Spruce 3,-88.7593,14.2444,-164.5691,15.8930,1.0120
Spruce 3,-79.0331,12.5028,-167.9134,185.9089,1.0578
Spruce 3,-69.4508,10.0846,-165.3010,192.8599,0.8512
Spruce 1,-60.4689,8.0085,-164.3098,9.4822,0.8947
Spruce 3,-58.9940,7.6578,-164.1101,89.9859,0.8846
Spruce 3,-48.6654,5.3787,-167.0624,16.0194,0.8931
Spruce 1,-43.6727,3.8671,-165.7045,254.3696,0.9761
Spruce 1,-37.5292,2.2322,-167.4893,96.2778,0.9595
Spruce 1,-34.8880,1.3684,-164.4910,4.3321,0.9892
Spruce 1,-24.5132,-0.2397,-166.1649,3.2230,0.9999
Spruce 3,-7.3751,1.8244,-168.5928,166.0298,1.1287
Spruce 1,-3.0480,2.9445,-165.1004,51.0768,0.9618
Spruce 1,3.3217,4.5243,-164.0463,107.0541,0.9702
Spruce 3,58.2500,15.7969,-165.7230,241.9356,1.0799
Spruce 1,64.9897,17.5221,-167.0632,234.2997,1.1469
Spruce 3,66.8453,18.0954,-166.7276,79.1090,0.8581
Spruce 1,96.6609,21.4762,-168.0716,116.5821,0.9464
Spruce 1,101.2069,20.6220,-163.8450,302.5784,0.8626
Spruce 1,133.7983,18.4289,-168.6225,355.4736,1.1300
Spruce 3,-100.2089,15.5446,-157.1582,212.6860,0.9712
Spruce 3,-92.8998,14.8053,-162.0503,320.5962,1.1392
Spruce 1,-88.2642,13.9518,-160.7967,339.2756,1.0348
Spruce 1,-78.3660,11.3714,-158.3161,189.2139,0.9519
Spruce 3,-72.4743,10.2885,-161.3173,68.2422,1.0493
Spruce 3,-69.6373,9.6517,-161.4289,29.4621,1.0420
Spruce 3,-62.7769,7.6839,-157.9692,343.2115,1.0836
Spruce 3,-53.6414,5.9249,-160.0004,56.2252,1.1408
Spruce 3,-49.7748,5.1461,-161.5326,254.9860,1.0003
Spruce 1,-46.6338,3.8924,-157.9640,259.4460,1.0064
Spruce 3,-40.0974,2.3277,-159.6210,71.4784,1.0245
Spruce 1,-29.6915,0.2279,-162.4862,112.9210,0.9143
Spruce 1,-28.2709,0.0006,-161.0520,169.2120,1.1146
Spruce 3,-21.0951,-0.1839,-160.0773,359.7614,1.0488
Spruce 1,-15.1657,0.6222,-157.6607,337.7031,0.9051
Spruce 1,-7.7417,2.0218,-159.1230,28.2707,1.1368
Spruce 1,-2.4733,3.2996,-157.5161,317.3077,1.1258
Spruce 1,6.0441,5.1926,-162.7010,6.7036,1.0241
Spruce 3,12.0448,6.5986,-160.3345,354.4785,1.0467
Spruce 3,14.4772,7.1874,-157.1565,122.6884,0.8593
