# Tracked standalone tree placement — see StandaloneTreeCatalog.cs
prefab,worldX,worldY,worldZ,yawDeg,scale
Spruce 1,-219.6969,15.0121,-63.9634,260.7870,0.9288
Spruce 3,-211.3725,15.0135,-66.0581,92.6357,0.9204
Spruce 1,-205.4164,15.0379,-65.1786,186.2824,0.9281
Spruce 1,-202.2381,15.1164,-62.2152,54.7895,0.9692
Spruce 3,-195.9093,15.2880,-62.8691,15.8930,1.0120
Spruce 3,-186.1831,15.6874,-66.2134,185.9089,1.0578
Spruce 1,-183.3317,15.8992,-66.8509,295.5834,1.0249
Spruce 3,-178.4263,16.7918,-63.8857,138.4465,1.0745
Spruce 1,-171.5553,17.4297,-66.9420,225.5243,1.0845
Spruce 3,-165.7589,18.5365,-65.6002,233.3325,0.9369
Spruce 3,-159.5881,19.2587,-66.8330,18.2861,1.0048
Spruce 3,-151.9278,20.9317,-62.8605,4.7714,0.9155
Spruce 1,-146.2590,20.8442,-65.4954,25.5395,1.0655
Spruce 3,-139.6654,20.9380,-67.0278,184.8586,0.9818
Spruce 3,-133.4524,21.0927,-67.0463,1.1066,0.8539
Spruce 1,-130.0674,21.8822,-63.1751,334.4295,1.1241
Spruce 3,-121.6828,21.5831,-64.8480,134.1962,0.8633
Spruce 3,-117.5987,21.7198,-64.4783,144.2516,1.0097
Spruce 1,-110.6658,22.5285,-61.6565,6.9884,1.0705
Spruce 1,-101.1599,22.7000,-61.3539,58.4506,1.0632
Spruce 1,-99.8311,22.0426,-64.3871,53.4777,1.0828
Spruce 1,-93.6418,21.7175,-65.8060,355.3278,1.0039
Spruce 3,-83.8527,21.7457,-63.0677,198.7416,0.9368
Spruce 1,-76.5110,20.9434,-63.1950,334.4626,0.9536
Spruce 1,-76.2871,20.4606,-65.7815,77.8045,0.8615
Spruce 1,-66.8960,18.6291,-64.5667,43.7016,1.1480
Spruce 1,-63.8134,17.5598,-65.1721,297.2980,1.0753
Spruce 3,-58.3957,15.3474,-66.8475,85.7065,1.1188
Spruce 1,-46.8927,11.8707,-62.0283,228.4113,1.0136
Spruce 1,-42.6980,10.4952,-65.9461,10.6501,0.9049
Spruce 3,-39.0649,10.8366,-61.4992,48.6792,1.0845
Spruce 1,-29.1496,12.1253,-65.9798,200.2359,1.0180
Spruce 1,-24.1751,14.3412,-66.3684,317.1337,0.9674
Spruce 3,-19.7805,16.8859,-65.0108,195.4864,0.9891
Spruce 1,-10.7635,22.3727,-62.2380,1.0235,0.8822
Spruce 3,-9.3589,23.2145,-61.4582,212.6860,0.9712
Spruce 3,-2.0498,25.3249,-66.3503,320.5962,1.1392
Spruce 1,2.5858,26.5267,-65.0967,339.2756,1.0348
Spruce 1,12.4840,27.2285,-62.6161,189.2139,0.9519
Spruce 3,18.3758,26.1220,-65.6173,68.2422,1.0493
Spruce 3,21.2128,25.4951,-65.7289,29.4621,1.0420
Spruce 3,28.0731,23.7721,-62.2692,343.2115,1.0836
Spruce 3,37.2086,19.2487,-64.3004,56.2252,1.1408
Spruce 3,41.0752,16.7315,-65.8326,254.9860,1.0003
Spruce 3,105.7550,14.7882,-64.3773,359.7614,1.0488
Spruce 1,111.6844,17.8903,-61.9607,337.7031,0.9051
Spruce 1,119.1083,20.6221,-63.4230,28.2707,1.1368
Spruce 3,129.4244,24.2102,-61.5839,5.9404,1.1172
Spruce 1,135.3401,25.6560,-63.6185,147.9331,1.1172
Spruce 3,143.6079,27.3929,-63.1669,338.6087,0.9389
Spruce 1,150.0633,28.6068,-66.9148,15.3340,1.0472
Spruce 1,155.6618,28.7992,-63.9687,78.6640,0.9532
Spruce 3,161.1808,28.9297,-63.2380,239.4719,0.9466
Spruce 3,164.1474,29.4895,-66.2845,352.4147,0.9373
Spruce 1,171.6579,29.6466,-67.0961,55.9570,0.9553
Spruce 1,176.6490,29.1679,-63.2363,64.8831,1.1334
Spruce 3,185.4848,28.8739,-65.9070,309.8228,1.0457
Spruce 1,189.6874,28.2511,-63.4081,70.3238,0.9786
Spruce 1,198.2932,26.1455,-63.7737,148.0916,1.0517
Spruce 3,203.4781,24.6632,-61.2515,112.0913,0.9177
Spruce 3,208.7925,22.4525,-62.2221,212.1349,0.9452
Spruce 3,216.0594,19.3742,-64.3909,309.3945,1.0005
Spruce 1,217.7981,18.7781,-64.6200,202.5782,0.8991
Spruce 3,-224.0122,15.0108,-61.0892,111.2283,0.9884
Spruce 1,-217.5446,15.0125,-56.8122,67.8256,0.8787
Spruce 3,-209.6684,15.0590,-58.3213,180.2731,1.1319
Spruce 3,-207.1995,15.1595,-55.4166,230.3362,1.0400
Spruce 1,-197.3931,15.4600,-58.0697,39.2601,0.8690
Spruce 3,-191.0217,16.0443,-57.3469,55.4360,1.0207
Spruce 1,-188.1869,16.0293,-60.2946,1.8253,0.8828
Spruce 1,-180.5328,16.9318,-60.9697,297.7652,1.1250
Spruce 1,-173.4953,18.5953,-58.7063,285.2405,0.8887
Spruce 1,-170.7193,19.3175,-57.8340,234.3628,0.8503
Spruce 3,-165.8853,20.1921,-57.9177,259.1638,1.0071
Spruce 3,-155.0425,22.0506,-57.0367,145.5312,0.9557
Spruce 3,-149.2976,22.8519,-56.3291,292.0375,1.1325
Spruce 3,-144.4738,22.0976,-60.5646,305.2402,1.1304
Spruce 3,-141.3298,23.2702,-56.8291,293.0548,1.0919
Spruce 1,-133.7868,23.8620,-55.6592,295.4198,0.9313
Spruce 3,-128.2878,23.3929,-57.6480,21.5528,1.1254
Spruce 3,-119.3692,23.1008,-59.0149,37.3777,0.9669
Spruce 3,-112.5960,22.8416,-60.3086,348.6238,1.0037
Spruce 3,-112.2662,23.4885,-57.7758,46.6696,0.9453
Spruce 1,-105.2547,23.7850,-56.6203,167.1490,0.8959
Spruce 3,-98.1562,23.4925,-57.7156,99.3742,1.0629
Spruce 3,-88.4833,23.0758,-58.2112,15.7970,1.0095
Spruce 3,-86.7496,23.5224,-55.8397,347.1902,1.1145
Spruce 1,-80.5589,22.1519,-59.6650,314.0026,1.0992
