# Tracked standalone tree placement — see StandaloneTreeCatalog.cs
prefab,worldX,worldY,worldZ,yawDeg,scale
Spruce 1,-151.7969,0.0627,-165.3634,260.7870,0.9288
Spruce 3,-143.4725,0.5956,-167.4581,92.6357,0.9204
Spruce 1,-137.5164,1.2240,-166.5786,186.2824,0.9281
Spruce 1,-134.3381,1.8533,-163.6152,54.7895,0.9692
Spruce 3,-128.0093,2.7123,-164.2691,15.8930,1.0120
Spruce 1,-107.4515,6.5286,-167.3817,209.9377,0.9425
Spruce 1,-99.6236,8.2342,-168.4763,269.4092,1.0916
Spruce 1,-96.2426,8.9652,-167.6053,281.3914,0.8653
Spruce 1,-88.7913,10.3032,-167.8089,104.2584,1.0817
Spruce 1,-82.6611,11.2457,-167.6381,185.7288,1.0314
Spruce 3,-80.2452,11.5681,-165.9778,78.6404,1.0385
Spruce 1,-74.4705,12.3632,-166.3090,258.5429,0.8706
Spruce 1,-62.4778,13.8682,-163.7132,179.8548,1.0040
Spruce 1,-56.4963,14.5556,-163.5270,22.9583,0.8509
Spruce 3,-46.6251,15.4434,-168.2928,166.0298,1.1287
Spruce 3,107.3779,16.6719,-166.5570,3.2552,1.0977
Spruce 3,111.7025,16.8534,-163.4570,333.4391,0.9214
Spruce 1,122.5217,17.1141,-166.8233,225.1185,1.0403
Spruce 1,124.6038,17.1626,-166.7164,83.1054,0.8589
Spruce 3,135.0508,17.2217,-162.5754,318.0224,0.8906
Spruce 1,151.7249,16.3930,-167.7684,317.1337,0.9674
Spruce 3,-155.8805,-0.0450,-160.4108,195.4864,0.9891
Spruce 1,-146.8635,0.6505,-157.6380,1.0235,0.8822
Spruce 3,-145.4589,0.8164,-156.8582,212.6860,0.9712
Spruce 3,-138.1498,1.4959,-161.7503,320.5962,1.1392
Spruce 1,-133.5142,2.2472,-160.4967,339.2756,1.0348
Spruce 1,-123.6160,4.1620,-158.0161,189.2139,0.9519
Spruce 3,-117.7243,4.9372,-161.0173,68.2422,1.0493
Spruce 3,-114.8873,5.4961,-161.1289,29.4621,1.0420
Spruce 3,-108.0269,7.2181,-157.6692,343.2115,1.0836
Spruce 3,-98.8914,8.7967,-159.7003,56.2252,1.1408
Spruce 3,-95.0248,9.3979,-161.2326,254.9860,1.0003
Spruce 1,-91.8838,9.9530,-157.6640,259.4460,1.0064
Spruce 3,-85.3474,10.8183,-159.3210,71.4784,1.0245
Spruce 1,-74.9415,12.2018,-162.1862,112.9210,0.9143
Spruce 1,-73.5209,12.3514,-160.7520,169.2120,1.1146
Spruce 3,-66.3450,13.2611,-159.7773,359.7614,1.0488
Spruce 1,-60.4156,13.9501,-157.3607,337.7031,0.9051
Spruce 1,-52.9917,14.7975,-158.8230,28.2707,1.1368
Spruce 1,-47.7233,15.1948,-157.2161,317.3077,1.1258
Spruce 3,91.3012,16.2731,-158.5852,221.5157,0.9569
Spruce 1,95.9777,16.4178,-159.9288,199.5794,1.0872
Spruce 1,102.6752,16.6693,-158.4670,350.9077,1.0464
Spruce 1,109.6303,16.8269,-161.1464,292.6714,1.0121
Spruce 1,135.6981,17.1802,-160.0200,202.5782,0.8991
