mode,hole,surface_target,target_v_horizontal_mps,target_spin_rpm,actual_v_at_contact_mps,first_contact_pos_x,first_contact_pos_y,first_contact_pos_z,end_pos_x,end_pos_y,end_pos_z,end_surface,roll_distance_m,bounce_count,sim_duration_s,sample_id,timestamp_iso
roll,1,Fairway,3.0,500,8.554,-278.4466,8.7535,-133.7596,-276.8132,8.5507,-133.7279,Fairway,1.6337,5,2.6172,1,2026-05-18T09:50:23.9241070+02:00
roll,1,Fairway,3.0,500,8.554,-278.4466,8.7535,-133.7596,-276.8132,8.5507,-133.7279,Fairway,1.6337,5,2.6172,2,2026-05-18T09:50:24.2631650+02:00
roll,1,Fairway,3.0,2700,8.554,-278.4466,8.7535,-133.7730,-276.8132,8.5507,-133.7730,Fairway,1.6334,5,2.6173,1,2026-05-18T09:50:24.6008520+02:00
roll,1,Fairway,3.0,2700,8.554,-278.4466,8.7535,-133.7730,-276.8132,8.5507,-133.7730,Fairway,1.6334,5,2.6173,2,2026-05-18T09:50:24.9433590+02:00
roll,1,Fairway,6.0,500,10.441,-277.0901,8.5661,-133.7574,-273.4604,8.0920,-133.7177,Fairway,3.6299,5,2.8303,1,2026-05-18T09:50:25.2734970+02:00
roll,1,Fairway,6.0,500,10.441,-277.0901,8.5661,-133.7574,-273.4604,8.0920,-133.7177,Fairway,3.6299,5,2.8303,2,2026-05-18T09:50:25.6410910+02:00
roll,1,Fairway,6.0,2700,10.441,-277.0901,8.5661,-133.7730,-273.4603,8.0920,-133.7730,Fairway,3.6298,5,2.8303,1,2026-05-18T09:50:25.9791150+02:00
roll,1,Fairway,6.0,2700,10.441,-277.0901,8.5661,-133.7730,-273.4603,8.0920,-133.7730,Fairway,3.6298,5,2.8303,2,2026-05-18T09:50:26.3429360+02:00
roll,1,Fairway,9.0,500,12.843,-276.1561,8.4353,-133.7568,-270.1172,7.6542,-133.7053,Fairway,6.0391,6,3.1423,1,2026-05-18T09:50:26.6768180+02:00
roll,1,Fairway,9.0,500,12.843,-276.1561,8.4353,-133.7568,-270.1172,7.6542,-133.7053,Fairway,6.0391,6,3.1423,2,2026-05-18T09:50:27.0233980+02:00
roll,1,Fairway,9.0,2700,12.843,-276.1561,8.4353,-133.7688,-270.1171,7.6542,-133.7401,Fairway,6.0391,6,3.1423,1,2026-05-18T09:50:27.3719950+02:00
roll,1,Fairway,9.0,2700,12.843,-276.1561,8.4353,-133.7688,-270.1171,7.6542,-133.7401,Fairway,6.0391,6,3.1423,2,2026-05-18T09:50:27.7353750+02:00
roll,1,Fairway,12.0,500,15.541,-275.5092,8.3472,-133.7572,-266.6333,7.2306,-133.6929,Fairway,8.8762,6,3.4054,1,2026-05-18T09:50:28.0850390+02:00
roll,1,Fairway,12.0,500,15.541,-275.5092,8.3472,-133.7572,-266.6333,7.2306,-133.6929,Fairway,8.8762,6,3.4054,2,2026-05-18T09:50:28.4268000+02:00
roll,1,Fairway,12.0,2700,15.541,-275.5089,8.3472,-133.7365,-266.6340,7.2306,-133.5811,Fairway,8.8763,6,3.4047,1,2026-05-18T09:50:28.7670600+02:00
roll,1,Fairway,12.0,2700,15.541,-275.5089,8.3472,-133.7365,-266.6340,7.2306,-133.5811,Fairway,8.8763,6,3.4047,2,2026-05-18T09:50:29.1184750+02:00
roll,1,Fairway,15.0,500,18.484,-275.0555,8.2868,-133.7581,-262.8334,6.8118,-133.6864,Fairway,12.2223,6,3.8329,1,2026-05-18T09:50:29.4553370+02:00
roll,1,Fairway,15.0,500,18.484,-275.0555,8.2868,-133.7581,-262.8334,6.8118,-133.6864,Fairway,12.2223,6,3.8329,2,2026-05-18T09:50:29.7891090+02:00
roll,1,Fairway,15.0,2700,18.484,-275.0549,8.2868,-133.7233,-262.8351,6.8118,-133.4799,Fairway,12.2222,6,3.8339,1,2026-05-18T09:50:30.1300540+02:00
roll,1,Fairway,15.0,2700,18.484,-275.0549,8.2868,-133.7233,-262.8351,6.8118,-133.4799,Fairway,12.2222,6,3.8339,2,2026-05-18T09:50:30.4635580+02:00
roll,1,Fairway,20.0,500,23.867,-274.5623,8.2134,-133.7589,-255.5324,6.1413,-133.6670,Fairway,19.0300,6,5.5034,1,2026-05-18T09:50:30.8165250+02:00
roll,1,Fairway,20.0,500,23.867,-274.5623,8.2134,-133.7589,-255.5324,6.1413,-133.6670,Fairway,19.0300,6,5.5034,2,2026-05-18T09:50:31.1424180+02:00
roll,1,Fairway,20.0,2700,23.867,-274.5616,8.2134,-133.7254,-255.5351,6.1421,-133.4025,Fairway,19.0292,6,5.5033,1,2026-05-18T09:50:31.4766870+02:00
roll,1,Fairway,20.0,2700,23.867,-274.5616,8.2134,-133.7254,-255.5351,6.1421,-133.4025,Fairway,19.0292,6,5.5033,2,2026-05-18T09:50:31.8197940+02:00
roll,1,Fairway,25.0,500,29.256,-274.2757,8.1793,-133.7602,-247.7935,5.5707,-133.6432,Fairway,26.4825,6,6.7699,1,2026-05-18T09:50:32.1586200+02:00
roll,1,Fairway,25.0,500,29.256,-274.2757,8.1793,-133.7602,-247.7935,5.5707,-133.6432,Fairway,26.4825,6,6.7699,2,2026-05-18T09:50:32.4988460+02:00
roll,1,Fairway,25.0,2700,29.256,-274.2750,8.1793,-133.7288,-247.7971,5.5713,-133.3352,Fairway,26.4808,6,6.7691,1,2026-05-18T09:50:32.8372560+02:00
roll,1,Fairway,25.0,2700,29.256,-274.2750,8.1793,-133.7288,-247.7971,5.5713,-133.3352,Fairway,26.4808,6,6.7691,2,2026-05-18T09:50:33.1779220+02:00
roll,1,Green,3.0,500,0.000,0.0000,0.0000,0.0000,-217.3784,-2675.4520,137.9484,Fairway,0.0000,0,59.9854,1,2026-05-18T09:50:33.6167010+02:00
roll,1,Green,3.0,500,0.000,0.0000,0.0000,0.0000,-217.3784,-2675.4520,137.9484,Fairway,0.0000,0,59.9854,2,2026-05-18T09:50:34.0327460+02:00
