# Tracked standalone tree placement — see StandaloneTreeCatalog.cs
prefab,worldX,worldY,worldZ,yawDeg,scale
Spruce 1,24.4774,3.7594,-171.5545,229.4820,0.9761
Spruce 3,111.7013,6.1773,-172.0283,57.5551,1.0097
Spruce 1,118.6342,5.6968,-169.2065,245.6282,1.0705
Spruce 1,128.1401,4.9850,-168.9039,73.7013,1.0632
Spruce 1,129.4689,4.3566,-171.9371,261.7744,1.0828
Spruce 1,135.6582,4.0719,-173.3560,89.8475,1.0039
Spruce 3,6.2099,6.7803,-165.3127,277.9207,0.8866
Spruce 1,11.1987,6.7806,-163.3644,105.9938,0.9545
Spruce 3,17.6319,5.6500,-165.3919,294.0669,1.0931
Spruce 1,21.4940,4.5392,-168.6329,122.1400,1.1321
Spruce 1,29.2740,4.0553,-165.1052,310.2131,0.8875
Spruce 1,38.6334,3.3789,-163.3067,138.2862,0.9502
Spruce 1,85.8517,8.4056,-164.8098,326.3593,0.9762
Spruce 3,92.1306,9.3408,-163.9772,154.4324,1.1329
Spruce 1,98.1946,9.7422,-162.8348,342.5056,1.0263
Spruce 3,102.6557,9.0439,-165.6446,170.5787,0.8833
Spruce 3,106.9372,8.4831,-165.5227,358.6518,0.9101
Spruce 1,115.5818,7.1675,-165.1596,186.7249,1.1304
Spruce 1,117.1841,6.3332,-167.3633,14.7980,0.9015
Spruce 1,124.4740,6.5965,-163.3576,202.8711,0.9602
Spruce 3,133.4305,5.8417,-164.6746,30.9442,0.9567
Spruce 3,136.7179,5.1629,-167.5490,219.0173,1.0279
Spruce 3,-47.5192,5.0459,-158.7879,47.0905,0.9466
Spruce 1,12.7649,7.7346,-157.4863,235.1636,1.0346
Spruce 3,17.4212,6.4348,-161.4779,63.2367,1.0163
Spruce 3,24.8830,5.4388,-160.1818,251.3098,1.1424
Spruce 3,36.0925,4.0234,-157.7721,79.3829,0.9452
Spruce 3,43.3594,3.3933,-159.9409,267.4560,1.0005
Spruce 1,77.7555,6.6008,-158.3622,95.5291,0.8787
Spruce 3,85.6316,8.2768,-159.8713,283.6023,1.1319
Spruce 3,88.1005,8.7157,-156.9666,111.6754,1.0400
Spruce 1,97.9069,10.0637,-159.6197,299.7485,0.8690
Spruce 3,104.2783,10.2348,-158.8969,127.8216,1.0207
Spruce 1,107.1131,9.3639,-161.8446,315.8947,0.8828
Spruce 1,114.7672,8.0780,-162.5197,143.9678,1.1250
Spruce 1,121.8047,7.8199,-160.2563,332.0409,0.8887
Spruce 1,124.5807,7.7978,-159.3839,160.1140,0.8503
Spruce 3,129.4147,7.4027,-159.4677,348.1872,1.0071
Spruce 3,140.2575,7.3776,-158.5867,176.2603,0.9557
Spruce 1,-69.6394,1.3560,-151.1414,4.3334,1.1040
Spruce 1,-62.5270,1.9921,-150.7960,192.4065,1.1150
Spruce 1,-51.3396,4.2035,-156.4662,20.4796,1.0470
Spruce 3,-50.3722,4.6262,-155.4547,208.5527,0.8847
Spruce 1,-42.3642,6.9820,-154.3562,36.6258,1.1441
Spruce 1,-37.4938,8.1970,-150.6833,224.6990,1.0357
Spruce 3,7.8218,8.5810,-153.9263,52.7721,1.0850
Spruce 1,10.3505,8.8808,-151.3815,240.8452,1.0364
Spruce 1,17.6083,8.0548,-152.0583,68.9183,1.0533
Spruce 3,40.9594,3.9312,-153.8390,256.9914,0.8962
Spruce 1,64.5356,4.6690,-154.1930,85.0645,0.8830
Spruce 3,74.4083,5.9578,-154.3327,273.1376,1.0310
Spruce 3,80.3114,7.0213,-154.0692,101.2107,0.8834
Spruce 3,82.0747,7.3602,-152.5598,289.2838,0.8797
Spruce 1,91.1781,9.3036,-154.3817,117.3570,0.9931
Spruce 1,93.7675,9.8176,-152.8731,305.4301,0.9925
Spruce 1,100.8107,10.9390,-152.6819,133.5032,0.9024
Spruce 1,105.1158,10.7805,-155.9066,321.5763,0.9174
Spruce 3,115.2138,10.5662,-154.4600,149.6494,0.8606
Spruce 1,117.0802,11.2496,-151.4821,337.7225,0.8963
Spruce 3,126.8792,10.1330,-151.4518,165.7957,0.8631
Spruce 1,134.2673,9.5808,-151.4441,353.8688,0.8874
Spruce 1,136.6313,8.1752,-155.9084,181.9419,0.8736
Spruce 1,-73.7610,1.7602,-146.9824,10.0150,0.9030
Spruce 3,-68.8626,1.5083,-149.2399,198.0881,1.0311
Spruce 1,-58.2763,3.1797,-145.3441,26.1612,1.1151
Spruce 1,-54.6577,4.1313,-146.2974,214.2343,0.8987
Spruce 1,-45.2929,6.7842,-147.7913,42.3074,0.9747
Spruce 3,-44.9049,6.7776,-149.5843,230.3806,1.0630
Spruce 3,-36.9585,8.3506,-149.2988,58.4537,0.9846
Spruce 1,17.3303,8.8237,-146.5047,246.5268,1.0972
Spruce 1,49.2325,4.0810,-147.1276,74.5999,1.0731
Spruce 1,51.8990,4.0023,-148.4315,262.6730,0.9873
Spruce 1,60.7767,4.4004,-150.6006,90.7461,1.1340
Spruce 1,67.2825,5.0746,-149.4647,278.8192,1.0357
Spruce 3,78.0559,6.6173,-148.4119,106.8923,0.9005
Spruce 1,86.1290,8.2450,-148.0311,294.9655,1.0273
Spruce 1,91.4150,9.4093,-148.3992,123.0386,0.8764
Spruce 3,93.4474,9.8094,-150.0300,311.1117,1.0906
Spruce 3,104.5834,12.1486,-144.7121,139.1848,1.0947
Spruce 1,107.5954,12.1525,-148.0993,327.2579,1.0927
Spruce 3,116.3591,12.4874,-146.6369,155.3310,1.0836
Spruce 3,121.7747,11.1696,-149.9358,343.4041,1.0124
Spruce 1,123.0710,11.5504,-148.0619,171.4772,1.0609
Spruce 3,129.6760,10.8811,-148.1525,359.5504,0.9431
Spruce 3,-69.9129,2.0508,-141.5046,187.6235,1.1380
Spruce 3,-68.5225,1.8479,-144.4022,15.6966,1.0800
Spruce 3,-58.6771,3.1335,-143.4279,203.7697,0.9202
Spruce 1,-54.1014,4.3466,-143.9850,31.8428,1.1098
Spruce 1,-50.9388,5.2504,-140.5867,219.9159,0.9327
Spruce 3,-44.2175,7.1409,-140.3366,47.9890,1.0353
Spruce 1,-38.4452,8.3699,-140.4542,236.0622,0.9773
Spruce 3,12.0122,9.8932,-141.6689,64.1353,0.9837
Spruce 1,16.5106,9.2694,-143.4763,252.2084,1.0311
Spruce 1,59.0155,4.5230,-144.2329,80.2815,0.9192
Spruce 1,63.3552,5.0518,-140.4071,268.3546,1.1021
Spruce 1,83.5322,7.8914,-143.1276,96.4277,0.8943
Spruce 1,87.8198,8.7599,-144.2803,284.5008,1.0983
Spruce 1,97.3976,11.0313,-141.4836,112.5740,1.1240
Spruce 1,-70.7493,2.3120,-138.4349,300.6471,0.8709
