# Tracked standalone tree placement — see StandaloneTreeCatalog.cs
prefab,worldX,worldY,worldZ,yawDeg,scale
Spruce 1,1.0971,4.1373,-60.3602,53.1941,1.0633
Spruce 1,7.6373,5.0575,-59.4445,14.9436,0.9059
Spruce 3,10.0492,5.3228,-60.1010,192.8599,0.8512
Spruce 1,36.8899,12.9974,-59.8413,278.0742,0.9250
Spruce 1,39.9376,13.7599,-59.7111,217.6413,0.8633
Spruce 1,47.2955,14.0341,-63.2952,226.2469,1.0620
Spruce 1,58.3910,14.9877,-61.9954,25.5395,1.0655
Spruce 1,-17.0463,3.2524,-54.4058,326.6130,0.9392
Spruce 1,-12.2796,3.8062,-53.1894,344.7643,1.1145
Spruce 1,-7.8030,4.1340,-53.3358,162.7745,0.8809
Spruce 1,-1.8005,4.8343,-52.9433,77.6377,0.8904
Spruce 3,5.7500,5.5183,-54.5230,241.9356,1.0799
Spruce 1,12.4897,6.9539,-55.8632,234.2997,1.1469
Spruce 3,14.3453,7.5027,-55.5276,79.1090,0.8581
Spruce 1,21.7927,9.3031,-57.3691,151.9970,1.0277
Spruce 1,26.7624,11.8205,-51.6391,115.6712,0.8818
Spruce 3,44.4525,16.6701,-52.5570,333.4391,0.9214
Spruce 1,65.9520,16.0059,-56.4461,10.6501,0.9049
Spruce 3,69.5851,16.5064,-51.9992,48.6792,1.0845
Spruce 3,-30.5419,6.0138,-45.9135,38.6402,0.8885
Spruce 1,-16.1582,5.3144,-47.2794,144.0106,1.0272
Spruce 3,-15.0503,5.6979,-46.1359,62.1478,1.1172
Spruce 1,7.1340,7.4799,-47.1161,189.2139,0.9519
Spruce 3,13.0258,8.4548,-50.1173,68.2422,1.0493
Spruce 3,15.8628,9.1717,-50.2289,29.4621,1.0420
Spruce 3,22.7231,11.7383,-46.7692,343.2115,1.0836
Spruce 1,37.5446,16.1095,-45.7848,76.0464,1.0263
Spruce 3,42.0057,16.9192,-48.5946,290.1608,0.8833
Spruce 3,-33.8040,7.0264,-43.4656,66.0610,0.9434
Spruce 3,-24.1230,6.9370,-43.2774,169.6042,0.8736
Spruce 3,-16.5161,6.5575,-43.7256,320.6462,1.1144
Spruce 1,-15.7010,6.5181,-43.8099,320.6865,0.8556
Spruce 3,-7.3345,7.4913,-41.5421,106.6310,1.1454
Spruce 3,2.3852,7.3636,-43.5552,246.7081,0.8628
Spruce 1,11.3313,9.4238,-43.4103,217.8488,0.9156
Spruce 1,22.1315,12.8143,-41.6088,303.3168,0.8908
Spruce 3,72.0512,16.7623,-41.6852,221.5157,0.9569
Spruce 1,-4.6434,8.4341,-39.3519,58.9125,0.9760
Spruce 1,-0.4237,9.4599,-37.1622,166.0650,1.1359
Spruce 3,4.0538,9.8452,-36.6946,34.3909,0.9742
Spruce 1,9.3304,10.8589,-34.8184,338.2657,1.1222
Spruce 3,17.2046,12.1195,-38.3495,228.0372,1.1149
Spruce 3,32.5793,16.1288,-38.9457,331.0128,1.0377
Spruce 3,73.6998,18.2434,-34.6373,215.3729,0.9697
Spruce 3,27.3744,16.3173,-31.9748,207.1192,0.9581
Spruce 1,74.0104,18.6527,-33.4162,114.3532,1.0470
Spruce 1,-52.0397,7.7687,-19.5693,147.4187,0.9343
Spruce 1,73.5448,22.7370,-21.3885,310.0733,0.8615
Spruce 1,-58.6018,7.7350,-10.4330,325.0394,1.0191
Spruce 1,-52.5941,7.5502,-15.1404,106.8812,1.1469
Spruce 1,-51.0584,7.6407,-13.9840,89.5977,0.8953
Spruce 1,64.6923,21.9062,-11.2475,51.4449,0.8987
Spruce 3,-41.6569,9.3664,-6.9078,16.4304,0.8613
Spruce 1,54.6625,18.1030,-3.8388,170.3979,0.9609
Spruce 3,58.9468,19.2788,-5.3926,184.6062,0.8525
Spruce 3,67.8791,21.2567,-5.1559,41.0650,0.9093
Spruce 3,71.9130,22.4636,-6.3704,192.3542,1.1356
Spruce 1,-58.5210,9.2804,-0.9811,342.5145,1.0273
Spruce 1,-53.2350,9.5400,-1.3492,154.2546,0.8764
Spruce 3,-51.2027,9.3084,-2.9800,327.4871,1.0906
Spruce 3,-40.0666,11.7421,2.3379,87.2081,1.0947
