# Tracked standalone tree placement — see StandaloneTreeCatalog.cs
prefab,worldX,worldY,worldZ,yawDeg,scale
Spruce 1,-81.0914,9.0261,-82.2546,60.6363,1.0068
Spruce 1,-77.5244,9.8751,-78.7536,274.0502,0.9021
Spruce 1,-71.6925,9.8914,-81.5561,137.1491,0.9461
Spruce 1,-65.5385,10.8229,-79.9953,207.7909,1.0942
Spruce 1,-58.7152,11.0527,-82.1868,293.8255,1.0615
Spruce 3,-51.8602,10.6773,-82.8351,326.2366,0.8943
Spruce 1,-44.9445,9.7793,-80.0015,110.9519,0.8625
Spruce 1,-39.6010,8.8494,-78.1736,289.8664,1.0107
Spruce 1,-32.6098,6.8718,-80.7926,18.3632,0.8579
Spruce 1,-26.4101,6.0936,-79.3413,278.0742,0.9250
Spruce 1,-23.3624,5.7582,-79.2111,217.6413,0.8633
Spruce 1,-16.0045,4.6521,-82.7952,226.2469,1.0620
Spruce 1,-11.7893,4.6671,-83.0205,24.7179,0.9302
Spruce 1,-2.7909,5.2240,-82.6743,287.2113,0.8536
Spruce 1,1.5351,5.6987,-80.0190,298.3817,0.8527
Spruce 1,4.9774,5.7698,-83.0816,12.4341,1.0462
Spruce 1,16.3811,6.1684,-77.5262,221.9782,0.9626
Spruce 1,17.1667,6.4047,-80.8634,285.2231,0.9811
Spruce 1,26.0942,6.3882,-80.6958,211.2260,1.1222
Spruce 3,33.3106,5.9667,-82.9835,119.8203,1.1373
Spruce 1,39.1642,4.9130,-82.1258,119.9696,0.9856
Spruce 1,45.5567,3.4369,-82.2087,212.9985,0.9147
Spruce 3,49.9770,2.0016,-77.1779,257.3818,1.0516
Spruce 3,54.6369,1.1955,-79.7876,8.7181,1.0453
Spruce 1,60.9725,0.2160,-77.5256,95.5598,0.9159
Spruce 1,65.1309,-0.0790,-81.8033,33.7438,0.9767
Spruce 1,76.8609,-0.2579,-82.3716,116.5821,0.9464
Spruce 1,81.4069,-0.0256,-78.1450,302.5784,0.8626
Spruce 3,-79.7246,10.4161,-75.6716,100.6009,1.1036
Spruce 3,-75.8279,11.0906,-73.2931,107.0151,0.9077
Spruce 1,-72.0017,10.6532,-76.9225,355.4736,1.1300
Spruce 3,-62.4102,11.5833,-76.2887,106.1166,0.9060
Spruce 3,-57.7401,12.0000,-73.7627,215.3440,0.8866
Spruce 1,-52.7513,11.9597,-71.8144,346.9673,0.9545
Spruce 3,-46.3181,10.8732,-73.8419,46.1960,1.0931
Spruce 1,-42.4560,9.6489,-77.0829,259.2359,1.1321
Spruce 1,-34.6760,8.7453,-73.5552,327.8475,0.8875
Spruce 1,-25.3166,7.7737,-71.7567,195.1927,0.9502
Spruce 3,-21.4044,7.4154,-71.4454,100.9832,1.0742
Spruce 3,-17.0619,6.4768,-73.9464,319.6803,0.9241
Spruce 1,-9.1135,5.8399,-75.9626,300.1022,0.9186
Spruce 1,-3.2598,5.7946,-76.6090,316.8334,1.0915
Spruce 3,3.5728,5.8644,-71.3798,320.6750,0.9900
Spruce 1,10.7152,5.9907,-76.1629,228.3396,0.9134
Spruce 1,13.9054,5.7095,-72.8502,125.2320,1.0918
Spruce 1,20.0273,5.6045,-72.7759,283.9098,1.0089
Spruce 3,26.3904,5.8437,-75.9087,20.0458,0.8657
Spruce 1,30.1867,5.4604,-75.2180,97.4377,0.9374
Spruce 1,40.1924,3.8132,-74.2798,274.8269,0.9861
Spruce 1,44.8754,2.4277,-71.1040,112.0740,1.1070
Spruce 1,48.0010,1.8662,-71.4716,139.3560,1.0339
Spruce 1,58.6367,0.4505,-76.6288,112.4650,1.1142
Spruce 3,64.4161,-0.0346,-71.8115,107.4071,0.8550
Spruce 3,68.3815,-0.1691,-76.9883,243.4756,0.9733
Spruce 1,74.8331,0.1134,-71.1920,270.7973,1.1322
Spruce 3,77.0852,-0.0013,-75.0552,246.7081,0.8628
Spruce 1,-81.9687,11.7965,-68.9103,217.8488,0.9156
Spruce 1,-75.2380,12.1648,-67.4670,35.8418,1.0496
Spruce 1,-72.2845,12.4467,-66.0447,126.4738,1.1437
Spruce 1,-42.0186,11.2091,-67.1652,234.8900,1.0426
Spruce 3,-31.9363,9.3614,-68.9626,154.2702,0.9764
Spruce 1,-29.9279,9.6709,-66.3568,241.9822,1.0113
Spruce 3,-22.6318,8.5319,-67.1719,81.2146,1.0590
Spruce 3,-17.2318,7.7477,-67.8576,114.2163,1.0581
Spruce 1,-9.5644,7.0221,-66.5906,180.6504,1.1469
Spruce 1,-1.9434,6.1317,-70.8519,58.9125,0.9760
Spruce 1,2.2763,5.8269,-68.6622,166.0650,1.1359
Spruce 3,6.7538,5.4739,-68.1946,34.3909,0.9742
Spruce 1,12.0304,4.8977,-66.3184,338.2657,1.1222
Spruce 3,19.9046,5.1351,-69.8495,228.0372,1.1149
Spruce 1,26.7389,4.0562,-66.0431,22.7551,0.9474
Spruce 3,29.5543,3.7588,-65.6717,204.8757,1.1258
Spruce 1,35.8239,3.6457,-68.8369,39.4039,0.9622
Spruce 1,40.9304,2.5653,-67.1828,329.9864,0.9206
Spruce 1,51.8628,0.7751,-66.1453,46.3907,1.0295
Spruce 1,57.6540,0.3206,-69.3693,0.3773,0.8651
Spruce 1,62.8061,0.0197,-70.5353,188.5763,1.0860
Spruce 3,69.2194,0.1502,-65.6925,126.8049,1.1169
Spruce 3,73.3255,0.3486,-65.9476,338.9549,1.1035
Spruce 1,81.7673,0.7841,-67.1238,336.4404,1.0893
Spruce 3,-80.0127,12.5370,-63.9798,290.2719,1.1399
