# reference/pack_texture_budget.txt — build_size_diet Phase 1
# Written by Tools > Golfin > Build Size > Apply Pack Texture Budget
# (PackTextureBudget.cs). Assets/Packs is gitignored, so THIS file and that
# script are the tracked record of what the iPhone overrides are.

   was    now      est. built MiB before -> after  path
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Beams_ao.png
  2048   2048          2.37 ->     2.37          Assets/Packs/PBR Bridge/3D Art/Textures/Beams_d.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Beams_L_ao.png
  2048   2048          2.37 ->     2.37          Assets/Packs/PBR Bridge/3D Art/Textures/Beams_L_d.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Beams_L_m.png
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/3D Art/Textures/Beams_L_n.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Beams_m.png
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/3D Art/Textures/Beams_n.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Beams_R_ao.png
  2048   2048          2.37 ->     2.37          Assets/Packs/PBR Bridge/3D Art/Textures/Beams_R_d.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Beams_R_m.png
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/3D Art/Textures/Beams_R_n.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Bottom_L_ao.png
  2048   2048          2.37 ->     2.37          Assets/Packs/PBR Bridge/3D Art/Textures/Bottom_L_d.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Bottom_L_m.png
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/3D Art/Textures/Bottom_L_n.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Bottom_R_ao.png
  2048   2048          2.37 ->     2.37          Assets/Packs/PBR Bridge/3D Art/Textures/Bottom_R_d.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Bottom_R_m.png
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/3D Art/Textures/Bottom_R_n.png
  2048   2048          0.52 ->     0.52          Assets/Packs/PBR Bridge/3D Art/Textures/fence_d.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Light_ao.png
  2048   2048          2.37 ->     2.37          Assets/Packs/PBR Bridge/3D Art/Textures/Light_d.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Light_m.png
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/3D Art/Textures/Light_n.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Line_ao.png
  2048   2048          2.37 ->     2.37          Assets/Packs/PBR Bridge/3D Art/Textures/Line_d.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Line_m.png
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/3D Art/Textures/Line_n.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Main_ao.png
  2048   2048          2.37 ->     2.37          Assets/Packs/PBR Bridge/3D Art/Textures/Main_d.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Main_m.png
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/3D Art/Textures/Main_n.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Pier_ao.png
  2048   2048          2.37 ->     2.37          Assets/Packs/PBR Bridge/3D Art/Textures/Pier_d.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Pier_m.png
  1024   1024          0.59 ->     0.59          Assets/Packs/PBR Bridge/3D Art/Textures/Pier_n.png
   512    512          0.15 ->     0.15          Assets/Packs/PBR Bridge/3D Art/Textures/Railing_ao.png
