# Tracked standalone tree placement — see StandaloneTreeCatalog.cs
prefab,worldX,worldY,worldZ,yawDeg,scale
Spruce 3,-218.0894,8.2199,-218.7744,62.5144,1.0039
Spruce 1,-208.5325,9.3179,-218.9425,115.2840,1.0017
Spruce 1,-204.8142,9.7952,-218.7885,293.0895,0.8606
Spruce 1,-197.6368,10.7566,-217.9652,253.8548,0.8770
Spruce 1,-190.2029,11.7376,-217.1102,53.1941,1.0633
Spruce 1,-183.6627,12.5107,-216.1945,14.9436,0.9059
Spruce 3,-181.2508,12.7662,-216.8510,192.8599,0.8512
Spruce 1,-172.2689,13.1374,-215.8598,9.4822,0.8947
Spruce 3,-170.7939,13.0846,-215.6602,89.9859,0.8846
Spruce 3,-160.4654,11.8251,-218.6124,16.0194,0.8931
Spruce 1,-155.4727,10.4689,-217.2545,254.3696,0.9761
Spruce 1,-149.3292,8.7146,-219.0393,96.2778,0.9595
Spruce 1,-146.6880,7.8143,-216.0410,4.3321,0.9892
Spruce 1,-136.3131,5.2477,-217.7149,3.2230,0.9999
Spruce 1,-130.1270,4.2782,-220.2726,235.4915,0.8691
Spruce 3,-128.8928,3.8325,-214.8689,135.1199,0.9884
Spruce 1,-119.4004,3.1432,-220.0833,157.3022,0.8926
Spruce 1,-112.3463,2.8456,-217.1558,326.6130,0.9392
Spruce 1,-107.5796,2.8982,-215.9394,344.7643,1.1145
Spruce 1,-103.1030,3.0193,-216.0858,162.7745,0.8809
Spruce 1,-97.1005,3.3103,-215.6933,77.6377,0.8904
Spruce 3,-89.5500,3.5248,-217.2730,241.9356,1.0799
Spruce 1,-82.8103,3.4372,-218.6132,234.2997,1.1469
Spruce 3,-80.9547,3.3419,-218.2776,79.1090,0.8581
Spruce 1,-73.5073,2.4154,-220.1191,151.9970,1.0277
Spruce 1,-68.5376,1.4559,-214.3891,115.6712,0.8818
Spruce 3,-61.1570,0.3116,-215.8431,15.1503,0.8527
Spruce 1,-52.0570,-0.1584,-214.9746,304.3038,1.1279
Spruce 3,-49.4233,-0.1997,-217.0779,69.2312,1.0376
Spruce 1,-43.3164,-0.1119,-219.2517,336.0462,0.9193
Spruce 1,-33.1755,0.5363,-215.6602,67.2148,1.1150
Spruce 1,-31.3314,0.4955,-216.9901,43.8940,1.0637
Spruce 3,-23.5109,0.6429,-218.0013,125.3535,0.9835
Spruce 1,-15.3172,0.8204,-217.5681,291.7212,1.1343
Spruce 1,-14.3301,0.7793,-219.7060,338.5081,0.9046
Spruce 1,-4.7794,0.9665,-217.9260,44.9819,0.9700
Spruce 3,2.3641,1.1579,-214.5666,120.1976,0.9018
Spruce 3,6.1532,1.2781,-216.6544,269.0337,1.0967
Spruce 1,10.5831,1.5264,-218.3119,88.9598,1.0913
Spruce 1,20.2280,2.5081,-216.3635,82.2639,0.9331
Spruce 1,25.9017,3.2946,-216.5098,289.8502,0.9762
Spruce 3,32.1805,4.2034,-215.6772,167.9789,1.1329
Spruce 1,38.2446,4.9912,-214.5349,76.0464,1.0263
Spruce 3,42.7057,5.5361,-217.3446,290.1608,0.8833
Spruce 3,46.9872,5.9278,-217.2227,190.7380,0.9101
Spruce 1,55.6318,6.5708,-216.8596,18.8278,1.1304
Spruce 1,57.2341,6.6694,-219.0634,104.8797,0.9015
Spruce 1,64.5240,7.2490,-215.0576,163.3641,0.9602
Spruce 3,143.3655,5.6799,-216.2921,106.6310,1.1454
Spruce 1,152.5435,4.7948,-215.8367,236.6074,0.9522
Spruce 1,153.1555,4.7316,-216.2382,123.7956,0.9595
Spruce 3,160.2111,4.2365,-216.7192,115.8878,1.0317
Spruce 1,168.8912,3.8661,-219.7526,104.7148,1.1028
Spruce 1,176.7736,3.7659,-218.2421,126.3573,1.0238
Spruce 3,177.8326,3.7494,-219.2510,340.1284,0.8826
Spruce 1,183.9814,3.7251,-216.4152,234.8900,1.0426
Spruce 1,211.6432,3.6192,-217.0237,148.0916,1.0517
Spruce 3,216.8281,3.8162,-214.5015,112.0913,0.9177
Spruce 3,222.1425,4.0754,-215.4722,212.1349,0.9452
Spruce 3,-225.1611,8.8705,-211.3392,148.8010,0.8624
Spruce 1,-222.5791,8.6755,-213.3681,0.6511,0.9719
Spruce 1,-213.3818,9.7670,-211.5823,257.2654,0.9953
Spruce 1,-210.6159,9.7196,-213.7768,166.7225,1.0891
