courseId,holeNumber,teeSet,yards,color
lomond-country-club,1,back,531,blue
lomond-country-club,1,regular,509,green
lomond-country-club,1,front,480,white
lomond-country-club,1,ladies,441,red
lomond-country-club,2,back,415,blue
lomond-country-club,2,regular,397,green
lomond-country-club,2,front,373,white
lomond-country-club,2,ladies,344,red
lomond-country-club,3,back,185,blue
lomond-country-club,3,regular,168,green
lomond-country-club,3,front,152,white
lomond-country-club,3,ladies,132,red
lomond-country-club,4,back,454,blue
lomond-country-club,4,regular,436,green
lomond-country-club,4,front,410,white
lomond-country-club,4,ladies,378,red
lomond-country-club,5,back,565,blue
lomond-country-club,5,regular,545,green
lomond-country-club,5,front,518,white
lomond-country-club,5,ladies,477,red
lomond-country-club,6,back,388,blue
lomond-country-club,6,regular,370,green
lomond-country-club,6,front,349,white
lomond-country-club,6,ladies,321,red
lomond-country-club,7,back,422,blue
lomond-country-club,7,regular,403,green
lomond-country-club,7,front,381,white
lomond-country-club,7,ladies,352,red
lomond-country-club,8,back,198,blue
lomond-country-club,8,regular,181,green
lomond-country-club,8,front,163,white
lomond-country-club,8,ladies,145,red
lomond-country-club,9,back,542,blue
lomond-country-club,9,regular,521,green
lomond-country-club,9,front,493,white
lomond-country-club,9,ladies,455,red
lomond-country-club,10,back,390,blue
lomond-country-club,10,regular,374,green
lomond-country-club,10,front,352,white
lomond-country-club,10,ladies,325,red
lomond-country-club,11,back,463,blue
lomond-country-club,11,regular,444,green
lomond-country-club,11,front,419,white
lomond-country-club,11,ladies,387,red
lomond-country-club,12,back,204,blue
lomond-country-club,12,regular,188,green
lomond-country-club,12,front,170,white
lomond-country-club,12,ladies,152,red
lomond-country-club,13,back,428,blue
lomond-country-club,13,regular,410,green
lomond-country-club,13,front,387,white
lomond-country-club,13,ladies,357,red
lomond-country-club,14,back,559,blue
lomond-country-club,14,regular,538,green
lomond-country-club,14,front,509,white
lomond-country-club,14,ladies,471,red
lomond-country-club,15,back,179,blue
lomond-country-club,15,regular,163,green
lomond-country-club,15,front,148,white
lomond-country-club,15,ladies,130,red
lomond-country-club,16,back,401,blue
lomond-country-club,16,regular,383,green
lomond-country-club,16,front,362,white
lomond-country-club,16,ladies,334,red
lomond-country-club,17,back,448,blue
lomond-country-club,17,regular,430,green
lomond-country-club,17,front,405,white
lomond-country-club,17,ladies,374,red
lomond-country-club,18,back,536,blue
lomond-country-club,18,regular,515,green
lomond-country-club,18,front,487,white
lomond-country-club,18,ladies,450,red
